MSN,Description,Unit
PACCP,All petroleum products consumed by the commercial sector.,Thousand barrels
PACCV,All petroleum products total expenditures in the commercial sector.,Million dollars
PAEIB,All petroleum products consumed by the electric power sector.,Billion Btu
PAEID,All petroleum products average price in the electric power sector.,Dollars per million Btu
PAEIK,"Factor for converting all petroleum products consumed by the electric power sector from physical units to Btu, United States only.",Million Btu per barrel
PAEIP,All petroleum products consumed by the electric power sector.,Thousand barrels
PAEIV,All petroleum products total expenditures in the electric power sector.,Million dollars
PAHCK,"Factor for converting all petroleum products consumed by the residential and commercial sectors from physical units to Btu, United States only.",Million Btu per barrel
PAICB,All petroleum products consumed by the industrial sector.,Billion Btu
PAICD,All petroleum products average price in the industrial sector.,Dollars per million Btu
PAICK,"Factor for converting all petroleum products consumed by the industrial sector from physical units to Btu, United States only.",Million Btu per barrel
PAICP,All petroleum products consumed by the industrial sector.,Thousand barrels
PAICV,All petroleum products total expenditures in the industrial sector.,Million dollars
PAPRB,Crude oil production (including lease condensate).,Billion Btu
PAPRP,Crude oil production (including lease condensate).,Thousand barrels
PARCB,All petroleum products consumed by the residential sector.,Billion Btu
PARCD,All petroleum products average price in the residential sector.,Dollars per million Btu
PARCK,"Factor for converting all petroleum products consumed by the residential sector from physical units to Btu, United States only.",Million Btu per barrel
PARCP,All petroleum products consumed by the residential sector.,Thousand barrels
PARCV,All petroleum products total expenditures in the residential sector.,Million dollars
PATCB,All petroleum products total consumption.,Billion Btu
PATCD,"All petroleum products average price, all sectors.",Dollars per million Btu
PATCK,"Factor for converting all petroleum products total consumption from physical units to Btu, United States only.",Million Btu per barrel
PATCP,All petroleum products total consumption.,Thousand barrels
PATCV,All petroleum products total expenditures.,Million dollars
PATXB,All petroleum products total end-use consumption.,Billion Btu
PATXD,"All petroleum products average price, all end-use sectors.",Dollars per million Btu
PATXP,All petroleum products total end-use consumption.,Thousand barrels
PATXV,All petroleum products total end-use expenditures.,Million dollars
PCCCB,Petroleum coke consumed by the commercial sector.,Billion Btu
PCCCD,Petroleum coke price in the commercial sector.,Dollars per million Btu
PCCCP,Petroleum coke consumed by the commercial sector.,Thousand barrels
PCCCV,Petroleum coke expenditures in the commercial sector.,Million dollars
PCEIB,Petroleum coke consumed by the electric power sector.,Billion Btu
PCEID,Petroleum coke price in the electric power sector.,Dollars per million Btu
PCEIP,Petroleum coke consumed by the electric power sector.,Thousand barrels
PCEIV,Petroleum coke expenditures in the electric power sector.,Million dollars
PCICB,Petroleum coke consumed by the industrial sector.,Billion Btu
PCICD,Petroleum coke price in the industrial sector.,Dollars per million Btu
PCICP,Petroleum coke consumed by the industrial sector.,Thousand barrels
PCICV,Petroleum coke expenditures in the industrial sector.,Million dollars
PCISB,Petroleum coke price in the industrial sector excluding refinery fuel.,Billion Btu
PCRFB,Petroleum coke consumed as refinery fuel.,Billion Btu
PCTCB,Petroleum coke total consumption.,Billion Btu
PCTCD,"Petroleum coke average price, all sectors.",Dollars per million Btu
PCTCP,Petroleum coke total consumption.,Thousand barrels
PCTCV,Petroleum coke total expenditures.,Million dollars
PEACD,Primary energy average price in the transportation sector.,Dollars per million Btu
PEACV,Primary energy total expenditures in the transportation sector.,Million dollars
PECCD,Primary energy average price in the commercial sector.,Dollars per million Btu
PECCV,Primary energy total expenditures in the commercial sector.,Million dollars
PEEID,Primary energy average price in the electric power sector.,Dollars per million Btu
PEEIV,Primary energy total expenditures in the electric power sector.,Million dollars
PEICD,Primary energy average price in the industrial sector.,Dollars per million Btu
PEICV,Primary energy total expenditures in the industrial sector.,Million dollars
PERCD,Primary energy average price in the residential sector.,Dollars per million Btu
PERCV,Primary energy total expenditures in the residential sector.,Million dollars
PETCD,"Primary energy average price, all sectors.",Dollars per million Btu
PETCV,Primary energy total expenditures.,Million dollars
PETXD,"Primary energy average price, all end-use sectors.",Dollars per million Btu
PETXV,Primary energy total end-use expenditures.,Million dollars
PLICB,Plant condensate consumed by the industrial sector.,Billion Btu
PLICP,Plant condensate consumed by the industrial sector.,Thousand barrels
PMTCB,All petroleum products total consumption excluding fuel ethanol.,Billion Btu
POICB,Other petroleum products consumed by the industrial sector.,Billion Btu
POICD,Other petroleum products average price in the industrial sector.,Dollars per million Btu
POICP,Other petroleum products consumed by the industrial sector.,Thousand barrels
POICV,Other petroleum products total expenditures in the industrial sector.,Million dollars
POTCB,Other petroleum products total consumption.,Billion Btu
POTCD,"Other petroleum products average price, all sectors.",Dollars per million Btu
POTCP,Other petroleum products total consumption.,Thousand barrels
POTCV,Other petroleum products total expenditures.,Million dollars
POTXB,Other petroleum products total end-use consumption.,Billion Btu
POTXD,"Other petroleum products average price, all end-use sectors.",Dollars per million Btu
POTXP,Other petroleum products total end-use consumption.,Thousand barrels
POTXV,Other petroleum products total end-use expenditures.,Million dollars
PPICB,Pentanes plus consumed by the industrial sector.,Billion Btu
PPICP,Pentanes plus consumed by the industrial sector.,Thousand barrels
REPRB,Renewable energy production.,Billion Btu
RETCB,Renewable energy total consumption.,Billion Btu
RFACB,Residual fuel oil consumed by the transportation sector.,Billion Btu
RFACD,Residual fuel oil price in the transportation sector.,Dollars per million Btu
RFACP,Residual fuel oil consumed by the transportation sector.,Thousand barrels
RFACV,Residual fuel oil expenditures in the transportation sector.,Million dollars
RFCCB,Residual fuel oil consumed by the commercial sector.,Billion Btu
RFCCD,Residual fuel oil price in the commercial sector.,Dollars per million Btu
RFCCP,Residual fuel oil consumed by the commercial sector.,Thousand barrels
RFCCV,Residual fuel oil expenditures in the commercial sector.,Million dollars
RFEIB,Residual fuel oil consumed by the electric power sector.,Billion Btu
RFEID,Residual fuel oil price in the electric power sector.,Dollars per million Btu
RFEIP,Residual fuel oil consumed by the electric power sector.,Thousand barrels
RFEIV,Residual fuel oil expenditures in the electric power sector.,Million dollars
RFICB,Residual fuel oil consumed by the industrial sector.,Billion Btu
RFICD,Residual fuel oil price in the industrial sector.,Dollars per million Btu
RFICP,Residual fuel oil consumed by the industrial sector,Thousand barrels
RFICV,Residual fuel oil expenditures in the industrial sector.,Million dollars
RFISB,Residual fuel oil consumed by the industrial sector excluding refinery fuel.,Billion Btu
RFRFB,Residual fuel oil consumed as refinery fuel.,Billion Btu
RFTCB,Residual fuel oil total consumption.,Billion Btu
RFTCD,"Residual fuel oil average price, all sectors.",Dollars per million Btu
RFTCP,Residual fuel oil total consumption.,Thousand barrels
RFTCV,Residual fuel oil total expenditures.,Million dollars
RFTXB,Residual fuel oil total end-use consumption.,Billion Btu
RFTXD,"Residual fuel oil average price, all end-use sectors.",Dollars per million Btu
RFTXP,Residual fuel oil total end-use consumption.,Thousand barrels
RFTXV,Residual fuel oil total end-use expenditures.,Million dollars
ROPRB,"Renewable energy production, other than fuel ethanol.",Billion Btu
SFCCB,Supplemental gaseous fuels consumed by the commercial sector.,Billion Btu
SFEIB,Supplemental gaseous fuels consumed by the electric power sector.,Billion Btu
SFINB,Supplemental gaseous fuels consumed by the industrial sector.,Billion Btu
SFRCB,Supplemental gaseous fuels consumed by the residential sector.,Billion Btu
SFTCB,Supplemental gaseous fuels total consumption.,Billion Btu
SGICB,Still gas consumed by the industrial sector.,Billion Btu
SGICP,Still gas consumed by the industrial sector.,Thousand barrels
SNICB,Special naphthas consumed by the industrial sector.,Billion Btu
SNICD,Special naphthas price in the industrial sector.,Dollars per million Btu
SNICP,Special naphthas consumed by the industrial sector.,Thousand barrels
SNICV,Special naphthas expenditures in the industrial sector.,Million dollars
SOEGB,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu
SOEGP,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Million kilowatthours
SOHCB,Solar thermal energy consumed by the residential and commercial sectors.,Billion Btu
SOTCB,Photovoltaic and solar thermal energy total consumption.,Billion Btu
SOTXB,Photovoltaic and solar thermal energy total end-use consumption.,Billion Btu
TEACB,Total energy consumed by the transportation sector.,Billion Btu
TEACD,Total energy average price in the transportation sector.,Dollars per million Btu
TEACV,Total energy expenditures in the transportation sector.,Million dollars
TECCB,Total energy consumed by the commercial sector.,Billion Btu
TECCD,Total energy average price in the commercial sector.,Dollars per million Btu
TECCV,Total energy expenditures in the commercial sector.,Million dollars
TEEIB,Total energy consumed by the electric power sector.,Billion Btu
TEGDS,Energy expenditures as share of current-dollar GDP.,Percent
TEICB,Total energy consumed by the industrial sector.,Billion Btu
TEICD,Total energy average price in the industrial sector.,Dollars per million Btu
TEICV,Total energy expenditures in the industrial sector.,Million dollars
TEPFB,Total energy used as process fuel.,Billion Btu
TEPRB,Total energy production.,Billion Btu
TERCB,Total energy consumed by the residential sector.,Billion Btu
TERCD,Total energy average price in the residential sector.,Dollars per million Btu
TERCV,Total energy total expenditures in the residential sector.,Million dollars
TERFB,Total energy used as refinery fuel.,Billion Btu
TETCB,Total energy consumption.,Billion Btu
TETCD,Total energy average price.,Dollars per million Btu
TETCV,Total energy expenditures.,Million dollars
TETGR,Total energy consumed per dollar of real gross domestic product.,Thousand Btu per chained (2000) dollar
TETPB,Total energy consumption per capita.,Million Btu
TETPV,Total energy expenditures per capita.,Dollars
TETXB,Total end-use energy consumption.,Billion Btu
TETXD,Total end-use energy average price.,Dollars per million Btu
TETXV,Total end-use energy expenditures.,Million dollars
TNACB,Total energy consumed by the transportation sector excluding the sector's share of electrical system energy losses.,Billion Btu
TNCCB,Total energy consumed by the commercial sector excluding the sector's share of electrical system energy losses.,Billion Btu
TNICB,Total energy consumed by the industrial sector excluding the sector's share of electrical system energy losses.,Billion Btu
TNRCB,Total energy consumed by the residential sector excluding the sector's share of electrical system energy losses.,Billion Btu
TNSCB,Total primary energy and electricity consumed.,Billion Btu
TNTXB,Total primary energy and electricity consumed by the end-use sectors.,Billion Btu
TPOPP,Resident population including Armed Forces.,Thousand
UOICB,Unfinished oils consumed by the industrial sector.,Billion Btu
UOICP,Unfinished oils consumed by the industrial sector.,Thousand barrels
USICB,Unfractionated stream consumed by the industrial sector.,Billion Btu
USICP,Unfractionated stream consumed by the industrial sector.,Thousand barrels
WDCCB,Wood consumed by the commercial sector,Billion Btu
WDEIB,Wood and waste consumed by the electric power sector.,Billion Btu
WDICB,Wood consumed by the industrial sector.,Billion Btu
WDRCB,Wood consumed by the residential sector.,Billion Btu
WDRCD,Wood price in the residential sector.,Dollars per million Btu
WDRCP,Wood consumed by the residential sector.,Thousand cords
WDRCV,Wood expenditures in the residential sector. ,Million dollars
WDRSB,Wood consumed in the residential sector at a cost.,Billion Btu
WDRXB,Wood consumed in the residential sector at no cost.,Billion Btu
WSCCB,Waste consumed by the commercial sector,Billion Btu
WSEIB,Waste consumed by the electric power sector.,Billion Btu
WSICB,Waste consumed by the industrial sector.,Billion Btu
WWCCB,Wood and waste consumed by the commercial sector.,Billion Btu
WWCCD,Wood and waste price in the commercial sector.,Dollars per million Btu
WWCCV,Wood and waste expenditures in the commercial sector.,Million dollars
WWCSB,Wood and waste consumed in the commercial sector at a cost.,Billion Btu
WWCXB,Wood and waste consumed in the commercial sector at no cost.,Billion Btu
WWEIB,Wood and waste consumed by the electric power sector.,Billion Btu
WWEID,Wood and waste price in the electric power sector.,Dollars per million Btu
WWEIV,Wood and waste expenditures in the electric power sector.,Million dollars
WWICB,Wood and waste consumed by the industrial sector.,Billion Btu
WWICD,Wood and waste price in the industrial sector.,Dollars per million Btu
WWICV,Wood and waste expenditures in the industrial sector.,Million dollars
WWISB,Wood and waste consumed in the industrial sector at a cost.,Billion Btu
WWIXB,Wood and waste consumed in the industrial sector at no cost.,Billion Btu
WWTCB,Wood and waste total consumption.,Billion Btu
WWTCD,"Wood and waste average price, all sectors.",Dollars per million Btu
WWTCV,Wood and waste total expenditures.,Million dollars
WWTXB,Wood and waste total end-use consumption.,Billion Btu
WWTXD,"Wood and waste average price, all end-use sectors.",Dollars per million Btu
WWTXV,Wood and waste total end-use expenditures.,Million dollars
WXICB,Waxes consumed by the industrial sector.,Billion Btu
WXICD,Waxes price in the industrial sector.,Dollars per million Btu
WXICP,Waxes consumed by the industrial sector.,Thousand barrels
WXICV,Waxes expenditures in the industrial sector.,Million dollars
WYEGB,Electricity produced from wind energy by the electric power sector.,Billion Btu
WYEGP,Electricity produced from wind energy by the electric power sector.,Million kilowatthours
WYTCB,Electricity produced from wind energy.,Billion Btu
